"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15713","Add and configure Conditions of Interest","chromium","Fri Mar 06 13:39:26 UTC 2026","passed","Fri Mar 06 13:39:41 UTC 2026","","analysis/analysis-prevalence.spec.ts","",""
"","12014","Should be able to set the source measure for a Category Change Flag measure","chromium","Fri Mar 06 13:43:33 UTC 2026","passed","Fri Mar 06 13:43:45 UTC 2026","","measures/category-change-flag.spec.ts","",""
"","12055","Should create event combination measure by browsing measure type categories","chromium","Fri Mar 06 13:44:37 UTC 2026","passed","Fri Mar 06 13:44:49 UTC 2026","","measures/event-combination.spec.ts","",""
"","10855","Should not allow sampled cohort to be used as parent cohort","chromium","Fri Mar 06 13:41:43 UTC 2026","passed","Fri Mar 06 13:41:54 UTC 2026","","cohort-definitions/cohort-definitions-descriptive.spec.ts","",""
"","10936","Should switch results list tabs","chromium","Fri Mar 06 13:46:36 UTC 2026","passed","Fri Mar 06 13:46:47 UTC 2026","","results/results-list.spec.ts","",""
"","13517","Should configure a cohort parent","chromium","Fri Mar 06 13:42:29 UTC 2026","passed","Fri Mar 06 13:42:43 UTC 2026","","cohort-definitions/common/cohort-definitions-parent.spec.ts","",""
"","18856","Should create a Lines of Therapy Measure, add a drug group and save","chromium","Fri Mar 06 13:44:58 UTC 2026","passed","Fri Mar 06 13:45:16 UTC 2026","","measures/lines-of-therapy.spec.ts","",""
"","68492","Should generate measure preview counts","chromium","Fri Mar 06 13:43:56 UTC 2026","passed","Fri Mar 06 13:45:04 UTC 2026","","measures/common/preview-counts.spec.ts","",""
"","49245","Configure descriptive statistics and analyze measure","chromium","Fri Mar 06 13:43:46 UTC 2026","passed","Fri Mar 06 13:44:36 UTC 2026","","measures/common/measure-analyzer.spec.ts","",""
"","6426","Import code list template file","chromium","Fri Mar 06 13:42:56 UTC 2026","passed","Fri Mar 06 13:43:03 UTC 2026","","lists/code-list-library.spec.ts","",""
"","13516","Should persist a basic descriptive cohort definition","chromium","Fri Mar 06 13:41:40 UTC 2026","passed","Fri Mar 06 13:41:53 UTC 2026","","cohort-definitions/cohort-definitions-descriptive.spec.ts","",""
"","19656","Should create a numeric categorization measure and allow dichotomizing configuration","chromium","Fri Mar 06 13:45:09 UTC 2026","passed","Fri Mar 06 13:45:28 UTC 2026","","measures/numeric-categorization.spec.ts","",""
"","12152","View Info and Download Event Codes of the Event Filter measure","chromium","Fri Mar 06 13:43:14 UTC 2026","passed","Fri Mar 06 13:43:26 UTC 2026","","lists/measures-list.spec.ts","",""
"","17944","Verify analytic cohort file immutable actions","chromium","Fri Mar 06 13:46:18 UTC 2026","passed","Fri Mar 06 13:46:36 UTC 2026","","results/analytic-cohort-files.spec.ts","",""
"","13958","Create adherence measure by search","chromium","Fri Mar 06 13:43:16 UTC 2026","passed","Fri Mar 06 13:43:30 UTC 2026","","measures/adherence.spec.ts","",""
"","17370","Show 1 additional day options when ""AT_MOST"" is selected","chromium","Fri Mar 06 13:45:43 UTC 2026","passed","Fri Mar 06 13:46:01 UTC 2026","","measures/sequence-advanced.spec.ts","",""
"","16106","Should add-all/remove-all found codes","chromium","Fri Mar 06 13:43:41 UTC 2026","passed","Fri Mar 06 13:43:57 UTC 2026","","measures/code-search.spec.ts","",""
"","7772","Should visit support page when click on support work with aetion link","chromium","Fri Mar 06 13:42:48 UTC 2026","passed","Fri Mar 06 13:42:56 UTC 2026","","homepage.spec.ts","",""
"","19133","Should allow the removing and replacing of a source measure","chromium","Fri Mar 06 13:45:27 UTC 2026","passed","Fri Mar 06 13:45:46 UTC 2026","","measures/recurrence.spec.ts","",""
"","13509","Should perform the advanced list search","chromium","Fri Mar 06 13:43:42 UTC 2026","passed","Fri Mar 06 13:43:56 UTC 2026","","measures/code-search.spec.ts","",""
